Sentence,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Label
selfie stick never need talk another stranger person sanfranciscoplagues,0,0,0,1,0,0,0,0,neg
everybody gets iphones need nothing else sanfranciscoplagues,0,0,0,0,0,0,0,0,neg
happy pesach people plagues san francisco small plates restaurants suck fine,0,1,0,0,1,0,0,1,pos
sandyanne member tribe,0,0,0,0,0,0,0,1,pos
sandyanne also totally honorary mot,0,0,0,0,0,0,0,0,neg
sandyanne napa valley good wine audience getting happy,0,3,0,0,2,0,1,2,pos
sandyanne thanks sandra seder show glasses wine instead,0,0,0,0,0,0,0,1,pos
night good people fb,0,1,0,0,1,0,1,1,pos
thinking thinning twitter feed sherman alexie,0,0,0,0,0,0,0,0,neg
rt sherman alexie conservative parlance job creator means rich enough hire people amp pay better hides cash oversea,1,3,0,1,3,0,0,3,pos
rt liberationnyc everything wrong nyc summed one photo eventphotosnyc friday night eastvillage evgrieve http co,0,0,0,0,0,0,0,0,neg
dunham piece done phyllis diller husband one would care philip roth jewish girlfriend,0,0,0,0,0,0,0,0,neg
wait see blogosphere haaretz time etc react next jewish mother jewish wife joke predicting crickets,1,3,0,1,1,1,0,1,pos
tristanshouts thanks,0,0,0,0,0,0,0,0,neg
thankyouellenpao early valley job colleague studiously avoided sharing contacts introductions vc,0,0,0,0,0,0,0,0,neg
kleiner battle lost war except long run diverse honest investment field better,2,1,1,2,1,2,0,1,neg
ekp one tough cookie thank,0,0,0,0,0,1,0,0,neg
thejeffdavidson kidding,0,0,0,0,0,0,0,0,neg
rt caseymalone heathr hire woman sues us think time take crush court,1,3,0,1,1,0,0,1,pos
suzisteffen thanks suzi kind,0,0,0,0,1,0,0,1,pos
thejeffdavidson morningjewshow chopped liver kthalps lenadunham babe,0,0,0,0,0,0,0,0,neg
mt thejeffdavidson heathr morningjewshow many wmn intense love dogs comparison necessarily insult kthalps,2,0,2,1,2,1,2,1,neg
thejeffdavidson heathr morningjewshow dunham amp halper talented cute funny lena meeskite katie kinda hot kthalps,1,0,0,0,0,0,0,0,neg
one hire women whisper vcs angels firms already hiring women ellenpao fb,0,1,0,0,1,0,0,1,pos
thing woman dealt vcs knows stuff rampant water swim case gauntlet,0,1,0,2,1,1,0,0,neg
case felt pao lost case cross exam credibility mistakes made response,1,0,0,3,0,4,0,1,neg
employment discrimination atty friend courtroom expected loss lots discrimination said,3,1,2,3,1,3,0,1,neg
rt michellequinn kleiner nine number trying reach nine jurors agree retaliation claim,1,0,0,1,0,0,0,0,neg
rt michellequinn kleiner limbo waiting halls essence pao lost,0,0,0,0,0,1,0,0,neg
rt michellequinn kleiner loses everything gender discrimination retaliation polling jurors,2,0,1,2,0,1,0,0,neg
rt michellequinn kleiner juror man says yes everything juror man everything needed nine people agr,0,0,0,0,0,0,0,0,neg
coreyjf comedy,0,0,0,0,0,0,0,0,neg
daphne noon twobodyproblem emilynussbaum idea plenty jewish also nobody says jewish like jews,0,0,0,0,0,0,0,0,neg
coreyjf maybe literal know know best,0,0,0,0,0,0,0,0,neg
bethany show called morningjewshow make fun jews every week,0,1,0,0,1,0,0,1,pos
bethany ba love point please read think context,0,0,0,0,1,0,0,0,pos
coreyjf uproar misogynistic,0,0,0,0,0,0,0,0,neg
coreyjf saying go back new york stories whore mensa coming tell uproar yeah right,0,1,1,0,0,0,0,0,neg
fredericg producer rock show feel bullied making statement dont think plus funny bit killed,0,0,0,0,0,0,0,2,pos
words comedy problem angry,2,0,1,1,0,1,0,0,neg
enraged lenadunham piece need enraged chris rock keep daughter pole bit,0,0,0,0,1,0,0,0,pos
emilynussbaum avidlearner get use word often mitzvah points nussbaum,0,0,0,0,0,0,0,1,pos
coreyjf response dunham arguably misogynistic unless think people used flipped woody allen work,0,0,0,0,0,0,0,0,neg
coreyjf inside corey different ballgame unless wanna call chris rocks work racist meshugenah,0,0,0,1,0,1,0,0,neg
think one rt jamescallanlast week tonight john oliver ever show found voice quickly hbo,0,0,1,0,1,0,0,2,pos
cause post bibi speech election racism european events left calling jews racist lot n american jews frightened say boo,0,0,0,1,0,0,1,0,neg
much people truly scared real anti semitism afraid say lenadunham,0,0,0,1,0,0,0,1,neg
know easy comedy accused hating men ask often comics accused hating women,4,0,0,2,0,0,0,0,neg
rt michellequinn kleiner reporters wait court doors open th floor sf superior court verdict expected,2,4,0,3,0,0,0,0,neg
love see people willing identify fight anti semitism shows places joyride kvetch,1,0,0,1,1,0,0,0,neg
emilynussbaum tcarmody watched social network pomeranian great though signaled end good ol web days,0,2,0,0,1,0,1,1,pos
emilynussbaum tcarmody thanks wd great way watch nyc may hopefully shows,0,1,0,1,0,0,0,0,neg
say offended super disappointed see many people put comedy high often oy lenadunham,2,0,1,0,0,2,0,0,neg
emilynussbaum harrisj tcarmody rape stuff best stuff imo love,1,0,1,1,1,1,0,0,neg
losing mind maybe lenadunham nailed something jewish men,1,0,0,0,0,1,0,0,neg
emilynussbaum tcarmody dunham gotten grief one shouts murmurs piece rock given career gender jokes,0,1,0,0,0,1,0,0,neg
walrusmaster love tweeted proud canadian,0,1,0,0,2,0,0,1,pos
much people going lenadunham piece comfortable target bravery edgy freedom fighters,0,0,0,0,1,0,0,1,pos
see bagel least bar jewish mum know bits,0,0,0,1,0,0,0,0,neg
much crazy resentment thrown lenadunham jewish fair morningjewshow v low bar,2,0,1,1,0,2,0,0,neg
angry think lenadunham new yorker piece funny go read last,1,0,1,0,0,0,0,0,neg
guys never even seen girls care get piece think blazing saddles think humour,0,0,0,0,0,0,0,0,neg
apstamm morningjewshow ready replace abe foxman yesterday rachelsklar,0,1,0,0,0,0,0,0,pos
apstamm oh sure women supposed joked men people oy vey iz mir rachelsklar,0,0,0,0,0,0,0,0,neg
rushkoff serious criticism lena dunham recent shouts murmurs piece,1,0,0,0,0,1,0,0,neg
rushkoff laws campaigning theocratic internal israel style politics us worth way focus jews,3,0,0,2,0,1,0,1,neg
rushkoff remember sign though remember barney beanery signs gays aids old thing governors passing,0,0,0,0,0,0,0,0,neg
might uncomfortable make joke anti semitic piece saying uncomfortable jewish stuff loud good,0,1,0,0,1,0,1,1,pos
jews killed supermarket france recently would even make avatar je suis juif ballsy dunham,0,0,0,0,0,0,0,0,neg
offering set straight jewish male comic jewish woman prove miracles happen,0,1,0,0,0,0,0,1,pos
hard stuff facing left anti semitic criticizing israel without worry shonda goyim,0,1,0,1,0,1,0,0,neg
mobilize real problems remember safe find freedom inside keep sense humour,0,0,0,0,2,0,0,3,pos
jews freaked anti semitism indiana passed law put signs stores saying gays please take note fr fellow queers,0,0,0,0,0,0,0,2,pos
seriously watched folks left go constantly weirder times target unafraid,0,0,0,0,0,0,0,1,pos
never seen piece jewish male comic called anti semitic,0,0,0,0,0,0,0,0,neg
jewish humorist best thing jewish jokes seriously strength people lose,1,0,1,1,0,1,1,1,neg
safe go lenadunham like whatever reason think makes anti semitic,0,0,0,0,1,0,0,1,pos
co host morningjewshow get anti semitic crap sent us daily online see left plenty,0,1,1,0,0,0,0,0,neg
serious rise anti semitic public acts europe lenadunham comedy brave enough throw,0,1,0,0,0,0,0,0,pos
fellow jews others freaked lenadunham latest piece newyorker got way bigger problems,0,0,0,0,0,0,0,1,pos
rachelsklar also talk morningjewshow ep people lose minds lenadunham would love take future show,1,0,1,1,1,1,1,1,neg
cab driver via flywheel yesterday already worked left lyft uber said pay treat drivers well,1,2,1,1,2,1,1,2,pos
rt shakestweetz one every six hoosiers depends food stamps pantries get enough eat means boycottindiana,0,0,0,0,1,0,0,1,pos
pretty sure indiana governor hoping backlash outbutch walker gop primaries til needs help gay surgeon,0,1,0,0,1,0,0,2,pos
want jewish organizations community watch lgbt ones deal stuff another way,0,2,0,1,1,0,1,1,pos
lena dunham good jews tomorrow morningjewshoww kthalps fb,0,2,0,0,1,0,1,1,pos
rt morningjewshow american nazi party rally filled madison square garden learning rememberthispod,0,0,0,0,1,0,0,0,pos
gregelin ages coffee,0,0,0,0,0,0,0,0,neg
benioff many thanks showing leadership indiana may states follow stay,0,0,0,0,0,0,0,0,neg
look forward seeing prominent venture capitalists come commitment diversifying firms ppl invest,0,0,0,0,0,0,0,0,neg
striving pretending absolutely self sufficient idolatry also plain daft passover class http co jim oju k,1,0,2,1,0,0,0,0,neg
bay area fave community credit union bank w best online banking patelco mechnics,0,0,0,0,0,0,0,2,pos
simple see point talking bottom level customer service one authority give certain info,0,0,0,0,0,1,0,2,pos
simple already got conflicting advice f u messages saying cd acct closed access exec,0,0,0,0,0,0,0,1,pos
lizgannes may content writing bit already entertained heathersomervil,0,0,0,0,2,0,0,1,pos
lizgannes imagine would smart trial shown always smart heathersomervil,0,0,0,0,0,0,0,0,neg
come see comedians singers vintners imagine passover seder sunday citywinerynapa fb,0,0,0,0,0,0,0,0,neg
lizgannes heathersomervil know anyone got tom nazi left coming get us riches perkins record ellenpao trial,0,1,0,0,0,0,0,0,pos
break leg tonight vancouver dnto sookyinlee hope join future show,0,1,0,0,1,0,2,2,pos
rt teamdnto dntoinyvr officially sell sneak peek stage set see tonight rain city http co lco,1,0,0,1,0,0,1,0,neg
anyone ask tom victims nazi left perkins founding partner kpcb comment ellenpao trial fb,0,0,0,0,0,0,0,0,neg
recently introduced secure messaging app threemaapp really like user data tracking faster apple mms messenger,0,0,0,0,0,0,0,1,pos
simple way feel confident account secure,0,0,0,0,1,0,0,2,pos
simple already done gotten conflicting responses phone email,0,0,0,0,0,0,0,0,neg
need take risks disrupt say people scoff ellenpao suit vc investments fb,1,0,1,0,0,0,0,0,neg
pao wins nothing gets better women say people whose plan things getting better wait years genius daughter,0,2,0,0,1,0,0,0,pos
susie c took lawsuit women journalists get news floor nytimes,1,0,1,1,0,1,1,0,neg
angie seattle look great oakland,0,0,0,0,0,0,0,0,neg
vcs gonna threaten hire like evangelical christians gonna threaten invisible hell believe,3,3,1,3,1,1,0,1,neg
exactly googling great advice rt angie seattle heathr recommend checking credit union customers members,0,0,0,0,0,0,0,3,pos
one hire women whisper vcs angels firms already hiring women ellenpao fb,0,1,0,0,1,0,0,1,pos
simple tough feel secure bank start messaging closing account bc w,0,1,0,0,0,1,0,2,pos
simple customer service reps saying,0,0,0,0,0,0,0,0,neg
lifehacker nerdwallet love recommend best online banking simple tells self employed ppl accts shut,0,0,0,0,1,0,0,1,pos
sandyanne sure simple,0,0,0,0,0,0,0,0,neg
anyone really like line banking somewhere besides simple want recommend self employed folks unwelcome simple fb,0,0,0,0,0,1,0,1,neg
usual start acquired longer bank simple tells self employed close account want fb,0,1,0,0,0,0,0,3,pos
guy approaches girlfriend kissing goodbye get ready cringe guy talks jack purcells guy new pal,0,1,1,1,0,1,0,0,neg
trying access wordpress admin old site show input site wp admin assurance database update,0,0,0,0,0,0,0,2,pos
except every maker eats mt iammollywalsh agriculture uses water generates california revenue gmicncc,0,0,0,0,0,0,0,0,neg
napa yesterday still grapes fields condos yet fb,0,0,0,0,0,0,0,0,neg
ginatrapani would like slack channel post podcast convo,0,0,0,0,0,0,0,0,neg
ablaze xfinitywifi would love hide everywhere,0,0,0,1,1,0,0,0,neg
rt firstpersonpbs count number gay women know notoriety get press one hand nicolettemas,1,0,1,1,0,0,0,1,neg
rt libroantiguo mystery writer agatha christie surf board fred one first british people learn surf http,0,2,0,0,0,0,1,0,pos
rt sandyanne men go shows thingspeoplesaytoartists,0,0,0,0,0,0,0,0,neg
night good people fb,0,1,0,0,1,0,1,1,pos
working shift magazine years ago believe cdn publisher keep name msnbc pomeranian,0,0,0,0,0,0,0,0,neg
feliciahorowitz piece one hopeful things ever read connected sv love family,0,1,0,0,2,0,1,1,pos
tedr mine always wanted,0,0,0,0,0,0,0,0,neg
rt weird hist egyptian pyramids older romans romans us http co nwiu frnpp,0,0,1,0,0,1,0,0,neg
night good people fb,0,1,0,0,1,0,1,1,pos
caseymalone disrupting humiliation rebranded like arianna truthfully v moved lewinsky recent statements,0,0,1,0,0,1,0,0,neg
caseymalone foreign subtitles white shot rap ha ha ha ha,1,1,0,1,1,1,1,1,pos
caseymalone oh people raps,0,0,0,0,0,0,0,0,neg
ellenpapadakis buttery buttah rt msleamichele tonight dgaawards barbrastreisand http co netml jy,0,0,0,0,0,0,0,0,neg
last played hockey thing stick fb,0,0,0,0,0,0,0,0,neg
maegancarberry kthalps mj jew eoke tour maybe one nyc day may,0,0,0,0,0,0,0,0,neg
extra ticket awesome play berkeley tonight anne carson antigonick shotgunplayers wants,0,0,0,0,0,0,0,0,neg
bhorowitz web anildash think leading example diversifying vc firms make huge start know leadership,0,1,0,0,0,0,0,1,pos
anyone else self employed simple account getting guff company using bank fb,0,0,0,0,0,0,0,2,pos
rt advicetowriters write need write currently popular think sell p james amwriting http,0,0,0,0,0,0,0,0,neg
night good people dreaming sleep fb,0,1,0,0,1,0,1,1,pos
recreate childhood never julian fellows speaking pl travers works cosby seems,0,0,0,0,1,0,0,0,pos
often find people successful creating childhood icon much love children want,0,1,0,0,3,0,0,1,pos
ninavizz meant inspiring emboldening legions women common experiences,0,0,0,0,0,0,0,0,neg
dearsarah followed line want try go closing arguments though,1,0,0,0,0,0,0,0,neg
dearsarah practicing law,0,0,0,0,0,0,0,1,pos
dearsarah course woman worked circumstances knows implicit sexism well definitely bit jolt,0,0,0,0,0,0,1,0,pos
dearsarah friend said thought crumbled cross seem prepared jury questions seemed bit telling,1,2,0,1,1,1,0,3,pos
dearsarah kind basis v unusual big risk taking call often risk takers,0,2,0,2,1,0,0,1,pos
dearsarah already astonishing ellen pao think number entrepreneurs must wanted sue vcs,1,0,0,0,0,1,0,0,neg
dearsarah hey practicing attorney really surprise find something making cases harder bring ca,1,0,0,2,1,0,1,1,neg
dearsarah passing practicing ca employment law pal says plaintiff turned settlement offer may lead costs,0,0,0,0,0,0,0,1,pos
rt advicetowriters people understand everything get stories bertolt brecht fiction writing http co yeknckpepx,0,0,0,0,0,0,0,0,neg
twue mt grammar confident heathr miswrote update could posted one instead,0,0,0,0,1,0,0,2,pos
ninavizz anita hill moment likely losing case attorney opinion pao,2,0,0,2,0,2,0,1,neg
dearsarah also said possible loses owe kleiner costs think may play well kp media,0,0,0,0,0,0,0,0,neg
dearsarah still getting bit anita hill moment valley vc knows ripple may watch closing,0,1,0,1,0,0,0,0,neg
dearsarah talked friend employment lawyer v feminist one whose courtroom says nope pao,1,0,1,1,1,0,0,1,neg
joshgondelman remaking remake never lead good,0,1,0,0,1,0,1,1,pos
debs kevinmarks tummelvision reporting distribution means budgets change writing expectations imo,0,0,0,1,0,0,0,0,neg
threemaapp apple app store downloading threema right,0,1,0,0,0,0,0,0,pos
debs kevinmarks tummelvision hard quantify times business still see necessary good,0,1,0,0,1,0,1,1,pos
mt melissafpayne breaking body african american man found hanging tree claiborne county fbi mbi scene,2,1,2,1,2,1,1,3,pos
margaretatwood brilliantly reframes worse diff women men question putting pocket fb http co j jmc cia,0,0,0,1,0,1,0,0,neg
night good people fb,0,1,0,0,1,0,1,1,pos
fanny pack complete evenings tryptych however spell fb,0,0,0,0,0,0,0,0,neg
sightings tonight baby doll dress booties cut offs tights expecting rubber bracelets arm soon fb,0,1,0,0,2,0,0,0,pos
sarah gregersen documentally awesome christian give email let make plans,0,0,0,0,0,0,0,0,neg
paulmccabester documentally yo looks like good day,0,1,0,0,1,0,1,1,pos
enterpriseux steveportigal ixdconf spent lot time tummelvision advocating soft skills hard skills,0,1,0,0,0,0,0,0,pos
amazon drone like bump umairh really baffled starbucks hoping achieve racetogether buzz trust respect,0,2,0,1,2,0,0,3,pos
recent starbucks race convo project seems adapted silicon valley start take community,0,1,0,0,0,0,0,0,pos
rt sophiaphotos dr zucker reviewed mistreating trans youth huge deal toronto defines trans dsm v,1,2,0,1,2,0,2,1,pos
chrisgeidner call uber k,0,0,0,0,0,0,0,0,neg
night good people fb,0,1,0,0,1,0,1,1,pos
britwhartonsf pmarca bhorowitz leaptransit faq addition drivers employees w benefits,0,0,0,0,0,0,0,0,neg
rt zoomarang bibi declaring victory bs still form govt centrists hold cards let lap dancing begin,0,1,0,0,1,0,0,1,pos
reading interview w marsha norman thinking film wild massively underrated internal events dismissed men,0,0,0,0,0,0,1,0,pos
digiphile yet,0,0,0,0,0,0,0,0,neg
rt badbanana two years away even pilots wearing sweatpants flights,0,0,0,0,0,0,0,0,neg
rt heif chart motherjones via anildash http co bnp b ny k,0,0,0,0,0,0,0,1,pos
owenthomas joke old neighbourhoods web changing like city builders live lex suck etc,0,0,0,0,0,0,0,0,neg
brainwane excellent,0,0,0,0,1,0,0,1,pos
night good people fb,0,1,0,0,1,0,1,1,pos
makes ask suddenly become ambivalent swarthy rt mpesce chuck norris jewish,0,0,0,0,0,0,1,0,pos
f x made day thanks,0,0,0,0,0,0,0,0,neg
rt benkepes since gigaom staff let go wondering us gigao contractors contact,0,0,0,0,0,0,0,0,neg
day make life better marikotamaki,0,0,0,0,0,0,0,0,neg
spotted temescal ironic sock garters ankle high hiking boots shorts notahipster fb,0,0,0,0,0,0,0,0,neg
mbrhmr bunch billionaires yachts pointing laughing happens even wonder,0,0,0,0,1,0,0,0,pos
monteiro fellow funnywomen worth knowing cynthia levin betsy salkind aundr wonderwoman jamiedenbo jessicachaffin carolyn taylor,0,0,0,0,0,0,0,1,pos
rt monteiro let us praise funny women funnywomen,0,0,0,0,1,0,0,1,pos
yes monteiro wish god real could punch neck taking gilda radner away us soon funnywomen,1,1,0,2,1,1,1,2,pos
rt f x monteiro joan rivers ellen degeneres wanda sykes aisha tyler maya rudolph heather gold megan mccarthy bea arthur funnyw,0,0,0,0,0,0,0,0,neg
fran lebowitz says money grubbing used phrase think would take americans criticize wealth life,2,1,1,1,2,1,1,2,pos
jill lepore piece tweeted makes great points reticense name villains similar umairh earlier critique idea biz,0,0,0,0,0,0,0,0,neg
night pals sxsw night good people fb,0,1,0,0,1,0,1,1,pos
brainwane cataloguing master tapes listening good memories thanks help,0,1,0,0,1,0,1,1,pos
gpetriglieri meganhustad umairh presume everything outside invited dominance list approach show well,0,0,0,0,0,0,0,1,pos
gpetriglieri meganhustad umairh everyone way objects relationality necessary get institutions build,0,0,0,0,0,0,0,0,neg
gpetriglieri meganhustad umairh reflects love essay would add hyperrationality connected making everything,0,0,0,0,1,0,0,0,pos
gpetriglieri meganhustad umairh dictates lot delivered say bigger thing ted merely,0,0,0,0,0,0,0,0,neg
gpetriglieri meganhustad umairh agree coached couple ted talks including nilofers even framing,0,0,0,0,0,0,0,0,neg
rt barrypierce never seen proletariat bourgeoisie clearly illustrated one instagram post http co dl yagwtqe,0,0,0,0,0,0,0,0,neg
rt dialmformovies rip jeff hale aged created sesame street iconic pinball segment typewriter character http co hy hetin,0,0,0,0,0,0,0,0,neg
rt justkelly ok holy shit look email got recruiter using real full name emailcc girlziplocked list htt,1,0,1,0,0,0,0,1,neg
benschwartzy relying men strong women must rescued pretty cliche boring point like airplane food joke,0,1,0,0,2,0,0,2,pos
benschwartzy great see bond vulnerability though skyfall big progress dramatically interesting,0,1,0,1,1,1,0,0,neg
benschwartzy yes though women exist bit people kingsmen also lots failing women,1,1,0,1,0,1,0,0,neg
kingsmen v fun extraordinary someways know sexist bond film violent contemporary video game fb,1,1,1,1,1,0,1,0,neg
jenafriedman lost miss marmelstein onbroadway barbra covered recent morningjewshow shd,0,0,0,0,0,1,0,0,neg
straight people call foreplay,0,0,0,0,0,0,0,0,neg
rt globalbarnard women live capitalism live feudalism therobinmorgan barnardwcw,1,0,0,0,0,1,0,0,neg
favourite person twitter days podcast see tiny sense accomplishment sherman alexie ff,0,0,0,0,0,0,0,0,neg
emilynussbaum first scariest memory movies fruma sarah scene,0,0,0,0,0,0,0,0,neg
nje concludes sandberg us politics global econ meandering minute thanks listening,1,0,0,0,0,0,0,0,neg
nje think culture due another break heading beatnik times,0,0,0,0,0,0,1,0,pos
nje people wanna family see times make living indebted half life global economy making tough,0,0,0,1,0,2,0,1,neg
nje expect hilary clinton anything radically different either much times demand hope wrong,1,2,0,0,1,0,2,2,pos
nje true joy silicon valley gall imagine things entirely different great base,1,0,1,0,1,0,0,1,neg
nje early second wave feminism envisioned really different workplace across board decent ideas,0,1,0,0,0,0,0,0,pos
nje predict see media savvy political contenders arise make sarah palin look cultured temperate,0,1,0,0,0,0,0,1,pos
nje see get past parties ignoring worse worse via kardashian style media moves,0,0,0,2,0,2,0,0,neg
nje sandberg really implemented one big solution one big issue company think turned heads,0,0,0,0,0,0,0,0,neg
nje political leader showing gumption warren rand neither looks likely come middle enough win,0,0,0,0,0,0,0,1,pos
nje mean walmart raised minimum wage bet see kind thing whole system melts apart,0,0,0,0,1,0,0,2,pos
nje massive income inequality driving politics corrupt corptocracy real trouble addressing trying slowly,2,1,0,1,1,2,0,2,neg
nje ellenpaovkpcb trial every facebook thread make clear problem deep dudes get soaking,0,0,0,1,0,1,0,0,neg
nje people want think blow back would like,0,0,0,0,0,0,0,0,neg
nje basic point negotiating completely agree book campaign targeted business negotiating tips,0,0,0,0,0,0,0,0,neg
nje fair problems time corruption problems corporate america role big going tough lead,0,1,1,0,0,1,0,0,neg
nje imagine profoundly focused person insanely capable met yet challenged communication front,0,0,0,0,0,0,0,1,pos
nje every time press release look careful choice partners seems pretty telling zero grass roots,0,2,0,0,1,0,0,1,pos
ninavizz sure mine therapy next guy,0,0,0,0,0,0,0,0,neg
nje ye olde gop times say kind libertarian shot party new gop primary would eat alive,1,1,0,1,2,1,1,2,pos
nje nje runs sure looks like though wants run republican would interesting,0,0,0,0,0,0,0,0,neg
nje think sandberg really underestimated harm approach runs office,0,0,0,1,0,0,0,0,neg
nje condescension often present someone either completely unaware someone else implied situation give,1,1,1,0,1,1,1,1,pos
rt nje heathr super condescending time,0,1,0,0,0,0,0,0,pos
feminist pushback leanin bc like netanyahu saying us congress access speaking jews,0,0,1,0,0,0,0,1,neg
really challenging threatening underlying issue among male structure funders execs tech world,1,0,1,1,0,0,0,1,neg
leanin calculated effort bolster female creed shore political alliances grassroots heavily quotes,0,0,0,0,0,0,0,0,neg
current corp culture healthy healthy women men certainly helping democracy leanin,0,0,0,0,0,0,0,0,neg
help women corporate america say zay gezunt always take good leanin,0,1,0,0,1,0,1,1,pos
press campaign speaking women work sandberg work think politically fly,0,0,0,0,0,0,0,0,neg
sandberg pr campaign book offensive hypocrisy underlying buy business usual,1,0,1,0,0,0,0,1,neg
people find sandberg advice offensive think speaking,1,0,1,0,0,0,0,1,neg
anybody remember spreadsheet awhile back dudes agreed speak panels half female anildash,0,0,0,0,0,0,0,1,pos
award shows stay desperate attract young male viewers give game fb,0,2,0,0,2,0,2,1,pos
sxsw tbt twit women inc ginatrapani debs drkiki hello many friends old stomping grounds sxsw fb http co znszchq,0,0,0,0,0,0,0,0,neg
samsmullins nice themoth,0,0,0,0,0,0,0,0,neg
want apple watch want breakfast robot fb,0,1,0,1,0,0,0,0,neg
rt sarahm fraternity men make scotus justices since presidential cabinet since senators fortun,0,0,0,0,0,0,0,1,pos
rt ialexabramovich yrs ago almost nobody would speak city today funding approved st lgbtq transitiona,0,0,0,0,0,0,0,0,neg
dear god woman hero tragedy us needs ban firearms like australia insane insane,3,2,0,5,2,1,1,2,neg
fredericg agreed whole thing fercukt dems different kind problem lessig,0,0,0,1,1,1,0,2,pos
international politics run like kardashians career way go like gop thought starting w reagan could control,1,2,0,0,0,0,0,0,pos
cnrsocial socialsensing felt something wondering earthquake,1,0,0,1,0,1,1,0,neg
rt jaketapper breaking u oklahoma president david boren expells students id ed leading singing racist song sae f,0,0,0,0,0,0,0,2,pos
earthquake oakland temescal,1,0,0,1,0,1,1,0,neg
come back harper really hate losing people admire internet sad sarahjeong deleted twitter account,2,0,1,1,0,2,0,2,neg
ericajoy dearsarah kaporcenter comes mind,0,0,0,0,0,0,0,0,neg
rt ericajoy valley tech companies founder c level leaders actively speak support women technology exclude,0,0,0,0,0,0,0,1,pos
fave feminist documentaries fb,0,0,0,0,0,0,0,0,neg
rt danprimack kind amazing gigaom site whose founder partner main vc backer shutting due lack new f,0,0,0,0,1,0,0,2,pos
schlomo vcs taking designer ux guy yes guys next journos capital sees need expression sell,0,0,0,0,0,0,0,0,neg
rt schlomo feels newteevee gigaom general great things sad see go predict journos join vc,0,1,0,0,0,0,0,1,pos
phpress markmilian woman model says something,0,0,0,0,0,0,0,0,neg
phpress markmilian yeah really point markmilian making white chick years mostly white dudes,0,2,0,0,2,0,0,2,pos
room organized feminist convo post miss representation screening women guys guys definitely taking least airtime,0,0,0,0,0,0,0,0,neg
rt markmilian christy turlington first woman stage apple event years last jen herman appeared w pincus,0,0,0,0,0,0,0,0,neg
fraying tried kvetch shout tweetbot scrambled,1,0,0,0,0,0,1,0,neg
oh like pink vomiting walk girls aisles fb,0,0,0,0,0,0,0,0,neg
finally seeing miss representation must say surprised high school level filmmaking womenshistorymonth,0,1,1,0,1,0,2,3,pos
rt radar info many amazing things happening soon come meet danielhandler marikotamaki april booksmith http co jnazwnk,0,0,0,0,0,0,0,1,pos
fili krushel proposed installing troika female producers oversee show like lilith fair lauer complained,0,0,0,0,0,0,0,1,pos
cy choi yeah part room apple ipod,0,0,0,0,0,0,0,0,neg
pang look forward new one name film,0,0,0,0,0,0,1,0,pos
cy choi imagine easy fence,0,0,0,0,0,0,0,0,neg
around internationalwomansday wishing dudes see assualting behaviour terry richardson getting shots clouding work,0,0,0,0,0,0,0,0,neg
pang still show havent seen new ep since wison,0,0,0,0,0,0,1,1,pos
night good people fb,0,1,0,0,1,0,1,1,pos
rt desusnice moving hour forward daylight savings time like skipping ahead life mp http co qbecyzjgzg,0,1,0,0,0,0,0,0,pos
big carol kane fan seek hester street lead role always deserved fb,0,1,0,0,1,0,0,1,pos
somehow missed carol kane role rt katesherrill heathr recurring role gotham plays penguin mother,0,1,0,0,2,1,0,2,pos
carol kane cast unbreakable kimmy schmidt tv regular since taxi,0,0,0,0,1,0,0,1,pos
twitter suspended accounts harassers gehreg daughter gabby quickly spacekatgal femfreq deserve,1,1,0,0,1,0,0,2,pos
peterme required,0,0,0,0,0,0,0,0,neg
elissabeth aw thanks,0,0,0,0,0,0,0,0,neg
elissabeth game,0,0,0,0,0,0,0,0,neg
adamslisa,0,0,0,0,0,0,0,0,neg
sincere condolences adamslisa family friends xeni everyone grieving loss honest human voice,2,0,1,2,1,2,0,2,neg
jillsobule susanorlean ooh child every time cry every damn time,1,3,1,0,1,1,0,0,pos
rt mjb sf davidstreitfeld curious ellenpao room somehow difficult get along,0,0,0,1,0,0,0,0,neg
phpress yes interesting messages addressed deceased,0,0,0,0,0,1,0,0,neg
find interesting people event atheists worldwide write messages deceased twitter like giant wailing wall fb,0,0,0,1,0,1,0,0,neg
heading wise sons around pud sf mission peeps fb,0,0,0,0,0,0,0,0,neg
stevie wonder synthesizer doc tweeted via austinkleon,0,0,0,0,0,0,0,0,neg
stewart mathowie guys working together oil painting giving odd feeling internet hope,1,2,1,1,2,1,2,2,pos
night good people fb,0,1,0,0,1,0,1,1,pos
uber scum lost cabbie lost drivers providing material way stand fb,0,1,1,0,1,2,0,1,neg
hear god made adam eve ruth naomi matching guatemalan vests fb,0,1,0,1,1,0,0,1,pos
rt ebekiel sad true one vc tells kpcb loses gender discrimination case less likely hire female partner ch,1,1,1,2,1,2,0,1,neg
rt freebsdgirl today happy announce online abuse prevention initiative created thequinnspiracy alexlifschitz amp sh,1,2,1,1,1,1,0,1,neg
interviewed w vc first got valley women site heidi roizen ann winblad much change ellenpao,0,0,0,1,0,0,0,0,neg
rt twilsontv vassallo told investigator nazre going way demonize ellenpao,0,0,0,0,0,0,0,0,neg
rt twilsontv investigator walking instances ellenpao told incl male dinners porn star discussions sex banter,0,2,1,0,2,0,0,2,pos
rt michellequinn pao ceo chegg kleiner folks talking marissa mayer hot maybe,1,0,0,0,0,0,0,0,neg
